1,Pike - Frozen Fillet,"Nondisp fx of dist phalanx of l mid fngr, 7thD",33.24
2,"Beets - Candy Cane, Organic","Acute pericarditis, unspecified",56.35
3,Chocolate - Mi - Amere Semi,"Unspecified open wound, right lower leg, subs encntr",70.76
4,Bread - Corn Muffaleta Onion,"Nondisp longitud fx l patella, subs for clos fx w nonunion",94.54
5,Wine - Sicilia Igt Nero Avola,"Displaced transverse fx shaft of left radius, sequela",50.2
6,Flavouring - Rum,"Disp fx of med condyle of r tibia, 7thP",26.72
7,Longos - Assorted Sandwich,"Rheumatoid nodule, right hand",11.95
8,Cheese - Oka,Other disorders of glycine metabolism,26.64
9,Bulgar,Crohn's disease of small intestine with fistula,15.65
10,Emulsifier,Contusion of right middle finger without damage to nail,56.22
11,White Fish - Filets,"I/I react d/t other prosth dev/grft urn sys, sequela",85.27
12,Sauce Tomato Pouch,"Chronic postrheumatic arthropathy [Jaccoud], multiple sites",64.66
13,Flower - Commercial Spider,"Corrosion of third degree of unspecified axilla, subs encntr",65.99
14,"Lamb - Racks, Frenched","Oth injury of dorsal artery of right foot, init encntr",97.9
15,Kellogs Cereal In A Cup,Nondisplaced transverse fracture of right acetabulum,50.25
16,Cake - Bande Of Fruit,"Other sprain of right shoulder joint, sequela",84.31
17,Pepper - Red Thai,Partial traumatic transphalangeal amputation of thumb,14.85
18,"Beef - Tongue, Cooked","Glucosaminoglycan metabolism disorder, unspecified",81.12
19,Onions - Spanish,Oth diabetes mellitus with unspecified diabetic retinopathy,95.11
20,Pur Source,"Spondylolysis, thoracolumbar region",46.04
